it	posterior	prior	PP_lik	BD_lik	q_rate	alpha	k_birth	k_death	root_age	death_age	tot_length	Alismataceae_TS	Alismatales_TS	Archaeozostera_TS	Archaeozostera_lineata_TS	Archaeozostera_longifolia_TS	Archaeozostera_minor_TS	Archaeozostera_pinnata_TS	Cymodocea_TS	Cymodocea_floridana_TS	Cymodocea_maior_TS	Cymodocea_serrulata_TS	Halodule_TS	Heterozostera_chilensis_TS	Heterozostera_nigricaulis_TS	Heterozostera_polychlamys_TS	Heterozostera_tasmanica_TS	Pennipollis_TS	Pennipollis_peroreticulatus_TS	Pennipollis_reticulatus_TS	Posidocea_TS	Posidonia_TS	Posidonia_cretacea_TS	Posidonia_oceanica_TS	Posidonia_parisiensis_TS	Potamogeton_TS	Ruppia_TS	Syringodium_filiforme_TS	Thalassodendron_TS	Thalassodendron_auriculaleporis_TS	Triglochin_TS	Zannichellia_TS	Zostera_kiewiensis_TS	Zostera_nodosa_TS	Zosteraceae_TS	Alismataceae_TE	Alismatales_TE	Archaeozostera_TE	Archaeozostera_lineata_TE	Archaeozostera_longifolia_TE	Archaeozostera_minor_TE	Archaeozostera_pinnata_TE	Cymodocea_TE	Cymodocea_floridana_TE	Cymodocea_maior_TE	Cymodocea_serrulata_TE	Halodule_TE	Heterozostera_chilensis_TE	Heterozostera_nigricaulis_TE	Heterozostera_polychlamys_TE	Heterozostera_tasmanica_TE	Pennipollis_TE	Pennipollis_peroreticulatus_TE	Pennipollis_reticulatus_TE	Posidocea_TE	Posidonia_TE	Posidonia_cretacea_TE	Posidonia_oceanica_TE	Posidonia_parisiensis_TE	Potamogeton_TE	Ruppia_TE	Syringodium_filiforme_TE	Thalassodendron_TE	Thalassodendron_auriculaleporis_TE	Triglochin_TE	Zannichellia_TE	Zostera_kiewiensis_TE	Zostera_nodosa_TE	Zosteraceae_TE
10000	-1848.5011398929053	-15.582498552814421	-1586.3191934215604	-246.59944791853036	0.59514558827016917	1.0	2	1	129.92851847430777	0.0	706.14774247795299	71.557290348847616	28.009090486380359	101.87390887058299	106.87566487329684	104.79434733171026	105.36149109069915	102.8602322297987	38.667853542761002	43.501494817923316	4.7178632370644564	18.444321518476592	44.832555071127558	1.7251981859366858	0.26932556824745046	0.013218015881848233	0.038953699332340108	121.91701713103248	109.61512630940197	129.92851847430777	47.566881695091851	63.821519424793323	80.160972649833667	4.2093187503051182	65.935894109119502	118.14797810810832	48.796107341287382	0.026278620898740224	39.879715196189181	47.669390654030856	34.095202344332947	15.419513634564503	40.013122247901862	61.421145342894178	41.324259118387836	0.42095542384691276	26.381118507522427	76.515139431391887	63.258878085002159	64.759642777641972	65.391161740736493	63.119556955811582	36.096819366269621	42.54194580802961	3.3033028708802754	16.662015325053613	36.356737015245237	0.0	0.0	0.0	0.0	115.05685017615917	88.255007040142758	84.069810369525101	46.703141911065508	29.290757819825547	79.775848610742102	3.2331352238937341	24.417183641523184	0.0	2.6990868291876113	0.0	32.56118567782454	37.066882951479499	0.0	0.0	38.459685518170261	60.947178485624839	0.0
11000	-1844.9906270747626	-9.9281172234006299	-1589.1031396216654	-245.95937022969656	0.535292175427863	1.0	1	1	128.97755665230073	0.0	698.7961584297957	70.957194331116739	28.518278336987528	100.95742461376443	107.82235507245916	102.28893906111031	102.93782956519409	103.82505273221373	38.360820508237225	43.602713673262279	4.0622100196721131	18.061574932493141	44.370757551180759	0.36416925386429044	0.0089942226497025102	0.073330920934321003	0.078680256320638131	121.31891921838802	109.45005010732274	128.97755665230073	47.627999279479738	63.976583740300114	80.666802325385035	4.6031884436770296	66.481861618386091	119.32750722353832	48.379503830449778	0.31543277035349704	40.232398282749983	48.972920633445938	34.832278175425792	14.023284007943721	39.560373508890294	61.882687901453188	42.391873538582182	0.063661094768559634	26.381127002188219	79.534101621181321	63.751064370021702	64.113425051258162	66.297634136057923	63.201777417370081	36.887339711396088	43.351286761640736	3.4224310382635479	16.622420112426418	36.95069948369246	0.0	0.0	0.0	0.0	114.76596215540681	88.069328255696433	85.272177484368598	46.680651523500373	27.939337659060566	79.688028552843065	2.3934023444687575	25.47976877630116	0.0	1.0070632669581716	0.0	33.308976845992454	37.812912784243643	0.0	0.0	37.035984484819188	60.48482594581256	0.0
12000	-1860.5343300799125	-12.584668733976677	-1598.7281767372851	-249.2214846086506	0.59102035926400576	1.0	1	2	128.91026183406251	0.0	711.08266089504457	71.53072471595604	30.979854817038003	100.87224668381771	106.72251633307084	102.7783342436892	103.24305500832955	103.87422131649285	38.067849380382341	44.147719437899227	4.8623828770027613	19.450061569248511	45.961643049253865	0.15021757291551874	0.12218939968647247	0.046371925745985171	0.081575544711936718	121.273433284893	109.05023065897784	128.91026183406251	48.996850759649675	62.109193685613086	80.980604528057782	5.5257985164816965	67.279914833989054	119.78116597128134	44.702712567713384	0.066060410880779186	39.099614133318809	51.610481879560183	36.120604400154768	13.810471537615481	39.463160996367101	61.376206344537813	40.652888387538589	0.17532957455923825	26.192484082770967	77.739960618411587	65.676092550037353	64.724774179183626	61.369101464458126	60.859298491273961	36.084775862644875	42.038559588851442	3.04824422105863	15.535095889872682	35.161678208148125	0.0	0.0	0.0	0.0	115.26405296518209	88.519410138148672	84.25710690725073	45.036552426944283	28.975749516550437	79.4020478721378	3.353335678147825	27.999656951686134	0.0	2.5769065091357057	0.0	32.389046763933962	38.013595916269601	0.0	0.0	37.0415141477784	61.183587186452961	0.0
13000	-1855.4022068311695	-9.8856116471185942	-1595.128116545616	-250.38847863843489	0.54566114090279494	1.0	1	1	126.00095025980484	0.0	722.46410144904712	70.709868526073137	28.612946299605529	101.74059312707757	106.8599154471578	104.13782929545995	104.71368118608939	104.90053903169306	39.831179943463269	43.619845398645822	5.2834706009807908	21.179817958389158	44.228894181863446	0.18786483840980706	0.012791215113121757	0.46278855617747006	0.010852831310568134	122.03829679297036	110.96411650329217	126.00095025980484	48.574122545785457	61.15480651302876	80.409706476890065	4.1143233715822012	66.643733488104019	120.07142380485473	45.7067211059613	0.22093454191098472	39.336595596297649	52.193731475787693	35.948712051230835	15.700911481207177	39.832184088491942	61.263951000613019	40.951848105141565	0.39163360854342721	26.128863497665655	77.53552014916211	65.528005765557609	63.920925920879348	61.290480582697107	60.96855526292866	34.567285714529802	42.596034461383908	2.7283484569521166	14.109764408142031	35.237902668142375	0.0	0.0	0.0	0.0	113.29662957720328	86.825018545009073	82.531673767583186	46.77582991661459	30.183090728826066	79.575369271203357	3.4918301328783912	27.323399999505067	0.0	4.7445181074841338	0.0	30.36629733225594	38.315469806858488	0.0	0.0	35.466749760166167	61.256648749245649	0.0
14000	-1845.7111944270016	-12.300279437309872	-1588.8698074652229	-244.54110752446877	0.52235707955985522	1.0	1	2	126.08403678585539	0.0	706.43074475100741	71.718567387681645	28.346930789228196	101.61761210880917	106.25535321210296	102.86701456856191	103.77988864616626	102.50595947042449	37.936712614421111	44.12699832901594	3.9510529823830884	17.167284207212614	47.302759418270298	0.031546217380552605	0.18184555760936227	0.033795360465109392	0.074898865290952577	122.14370975804327	110.9346701078705	126.08403678585539	48.146392133837665	60.479378583309156	80.528280678651583	3.8844521308783704	63.886553097450459	119.31680026212327	42.984595803066661	0.055400052829283369	40.652135535496939	50.894742981059473	35.156950410485791	13.678074733652096	40.235099956589501	61.263951000613019	42.389722674611725	0.59351474663263371	25.602382849622174	79.591449685566133	63.903247767729006	62.455906478267721	60.884439480862973	59.595670258527427	35.289185819610132	42.742507953075048	3.6547373336762981	14.839830127236032	35.445607696211546	0.0	0.0	0.0	0.0	113.13978094462153	87.335286276426089	81.259712528404179	46.904164689339183	29.31649067475648	79.934647025878235	3.4310152218640604	26.338293550430613	0.0	5.3455916822833665	0.0	30.226549416349528	38.956218306007031	0.0	0.0	36.140891001821764	61.255300155241265	0.0
15000	-1828.2446257860308	-9.8965422334907593	-1573.7344660191845	-244.61361753335564	0.55628485962251117	1.0	1	1	126.18708136649155	0.0	688.15364059441993	72.895441636760737	27.117303599884774	101.56031633090285	104.52812440674957	101.36413357429339	104.39289334971248	102.09057660287465	38.381424840579449	43.550293285340338	4.0926788105590637	18.900286151427458	47.212351934948749	0.010906646462254786	0.031628040532642843	0.14943203952568035	0.17782260026018754	121.18769697422029	109.81835098929599	126.18708136649155	47.447718966058247	61.811399682417608	80.941707112890697	3.961163704546578	64.583788640964571	118.32467395026059	42.481607064510655	0.021704473267225688	41.975361560383668	51.808798148957386	34.108950441828767	13.815537410119973	39.796398949947886	61.265950767655966	38.693447126650398	0.46238273521762197	25.781413595069793	79.281927994864631	63.698210300614612	64.025734708825311	62.635583528872232	62.430933214265792	36.749012018185454	43.28711900226039	3.6724374978989123	15.372748452272953	34.94576513585519	0.0	0.0	0.0	0.0	113.44959423538116	88.385025455995603	83.08962138238067	46.769155187475882	30.755291595369009	79.433106720130269	3.3427505277924365	26.873493474464951	0.0	3.5626162152946579	0.0	31.948998070875362	38.480910324576691	0.0	0.0	36.844179057681544	61.255300155241265	0.0
16000	-1844.2833889963738	-9.8996785648731347	-1590.0017637038127	-244.38194672768805	0.569549763124793	1.0	1	1	125.60407185891218	0.0	688.69568376574443	71.994779577606536	26.792104645841352	101.62641749608358	104.11019787921025	102.97895191570055	105.35689604765808	101.69600423545351	38.643878196030016	44.231160306933404	4.7446689176761332	20.20745411437354	48.928582804680389	0.11324339091256652	0.19619704540993749	0.71219653344838907	0.16910448520501609	122.17523988830635	111.30573495553492	125.60407185891218	47.436530917371755	60.763793976213393	80.2800338834884	4.103642704198724	65.917690386175479	118.10968674091477	43.582363255626923	0.72340559365477153	40.923768018649682	51.310703719139802	34.852118810356401	13.623666948672444	39.795561760163046	61.261706796557341	38.216207399704182	0.99121072797905307	26.749267217750972	79.880532392829963	64.641620317873219	63.223104013553005	64.426286206243816	60.677788070286617	36.41159348578411	42.86921015192852	3.0393294489961988	15.931648391163804	36.798598893149915	0.0	0.0	0.0	0.0	115.29061825654829	88.70829517635886	84.480198250673809	47.037581170500275	30.333889213225682	78.313862198509469	3.3058498059490824	26.911012717895993	0.0	3.4023668118495674	0.0	34.06734250625933	38.575867135257738	0.0	0.0	36.472227096128023	61.252781783424169	0.0
17000	-1840.6563715281964	-9.9123914957701054	-1585.7172969862045	-245.02668304622171	0.50991947864544962	1.0	1	1	127.64089125427294	0.0	691.52414554285485	73.048424244901454	27.064528151761991	101.74845081215891	105.51065564609085	100.00562027130432	104.71776920910331	102.32638186055748	38.515133843016436	44.18003361839137	4.7663278933061841	17.373015294870306	45.304290281114021	0.022516279554517186	0.31695256385559994	0.12786922322223174	0.016250333458354426	122.59523982034366	108.57035787576316	127.64089125427294	48.120099342453699	61.563465221078602	80.270656315651806	4.8590472074851183	65.425809051233003	119.96836458203276	44.688155209004286	1.9410116816485283	39.121400095591035	52.003391213016343	33.921919655517506	13.575139743152947	39.984686870032185	61.261706796557341	38.986142637639595	0.11550259877633995	24.678388031622113	79.520297021988554	62.791745806707453	65.701317642222634	65.877331540687564	60.282897622708646	34.83446786293117	42.626768385852799	2.0628894247585885	16.757120132854755	36.802557681271566	0.0	0.0	0.0	0.0	115.17635316436711	87.436874012972169	84.982454641357222	46.660933896307178	28.843600506882339	79.637821272163379	2.5466825958352306	26.946546654791607	0.0	3.7254709984295098	0.0	33.341929911143076	37.506868665175134	0.0	0.0	37.907956701056655	61.252781783424169	0.0
18000	-1858.2980586524952	-12.227284602820658	-1599.0263986979992	-247.0443753516754	0.59691266404216781	1.0	2	1	128.52678198218183	0.0	707.1729074611701	71.997095664606448	27.460279656446691	104.39374823107811	104.04821523802568	100.51440010415617	107.27577347669768	102.16937648379124	40.656343577938877	44.00757293087738	6.8570419923826353	18.365555529843977	46.805858804123581	0.015155294846090572	0.19797339350401227	0.062518100845252167	0.084646261211011153	120.50397809951126	111.98178850314386	128.52678198218183	47.778545100508822	63.083145752279066	81.521018549403593	3.8446589465602306	64.864174935375857	118.40371946303398	45.427711721455168	0.81147225965035208	42.251315179191977	50.856104615251589	34.754563101622907	15.012079379344614	39.449830741211699	61.278415698334918	38.28790412062753	1.6438944430279483	26.391367313545476	77.658327756280514	64.085529957266814	62.954816072076397	64.451503216407076	60.355146197510663	33.167163703800234	43.21075606088494	0.12131642173194257	16.771729390033322	34.486169441956115	0.0	0.0	0.0	0.0	115.70385515456232	89.206283007196205	85.590197676573695	46.642609440919749	29.844996174558997	78.552279588771057	3.5134621832969137	27.357330757912528	0.0	5.4653297315357792	0.0	33.814552181758657	37.796832020425725	0.0	0.0	36.337625752436708	61.252781783424169	0.0
19000	-1838.9302743267851	-9.9020173391353321	-1583.8626608368108	-245.16559615083906	0.52647170692294476	1.0	1	1	128.71499829423115	0.0	695.70949738427987	70.920623336473653	27.382394835179227	103.4654973799948	105.81631420759777	100.07966108449479	104.58262400336311	102.18729517663883	39.840492426458312	43.951015280870145	4.2888477402467204	19.362751049321709	44.410550647269524	0.056583547439399751	0.22771889318101018	0.61555739354201178	0.080243719443355732	121.12361565153523	108.46231288304999	128.71499829423115	48.158146256140732	59.424132436041312	82.155606632424977	3.7287245491931884	65.292561512325719	118.75519075050369	42.615088436984209	0.06795456660045826	41.961364314018191	48.436024891202074	34.01760880988224	17.422629483307524	39.054594310440784	61.272537476023679	38.828702117554919	0.53966398650415459	25.657864008098592	77.996689837597685	64.102725774218484	62.854933371906441	66.095065805988639	60.964718024600657	34.399093559743321	43.20575300201601	0.71523567168243363	14.242212009754146	33.531058508040587	0.0	0.0	0.0	0.0	114.94543053565906	87.577484027524591	83.172874950036558	46.908678143261035	31.207285712451739	78.822264305454453	3.663133976569025	27.075428409057803	0.0	2.5951304913054347	0.0	31.13846933515309	39.48225044217844	0.0	0.0	38.902023687022805	61.254999132869344	0.0
